Year,Soft drinks,Soft drinks c hc,Soft drinks nc hc,Soft drinks c lc,Soft drinks nc lc
1992,47,14,22,2,10
1993,49,12,23,3,11
1994,48,11,23,4,11
1995,54,10,27,4,13
1996,56,11,28,3,14
1997,57,11,28,4,14
1998,57,10,28,4,15
1999,61,11,31,4,15
2000,65,12,33,3,17
2001,72,10,41,3,17
2002,74,10,44,3,18
2003,83,11,50,2,19
2004,81,11,51,2,17
2005,77,10,47,2,17
2006,81,11,47,3,20
2007,79,10,47,3,20
2008,81,10,48,3,19
2009,85,11,52,3,20
2010,89,10,52,4,23
2011,93,8,51,6,28
2012,96,8,51,7,30
2013,100,8,52,8,32
2014,95,7,51,8,30
