ONS Code,Region code,Region,Total,Male,Female,Total per 100k,Male per 100k,Female per 100k
E92000001,,England,"365,577","123,423","242,118",679,465,886
E40000001,Y54,North of England,"111,753","37,567","74,178",735,503,961
E39000001,Q44,"Cheshire, Warrington and Wirral","14,932","5,478","9,454","1,215",913,"1,502"
E38000056,01C,NHS Eastern Cheshire ,459,187,272,235,196,271
E38000151,01R,NHS South Cheshire ,"1,480",291,"1,189",835,333,"1,322"
E38000189,02D,NHS Vale Royal ,865,189,676,848,378,"1,301"
E38000194,02E,NHS Warrington ,976,456,520,476,448,503
E38000196,02F,NHS West Cheshire ,"2,257",719,"1,538",986,647,"1,305"
E38000208,12F,NHS Wirral ,"8,895","3,636","5,259","2,777","2,357","3,167"
E39000002,Q45,"Durham, Darlington and Tees","5,294","1,849","3,445",448,320,571
E38000042,00C,NHS Darlington ,383,154,229,363,301,423
E38000047,00D,"NHS Durham Dales, Easington and Sedgefield ","1,418",476,942,520,356,677
E38000075,00K,NHS Hartlepool and Stockton-on-Tees ,"1,344",435,909,470,311,623
E38000116,00J,NHS North Durham ,"1,103",449,654,454,376,529
E38000162,00M,NHS South Tees ,"1,046",335,711,382,250,507
E39000003,Q46,Greater Manchester,"16,164","5,875","10,287",588,432,742
E38000016,00T,NHS Bolton ,"1,175",496,679,420,358,480
E38000024,00V,NHS Bury ,898,388,510,481,425,535
E38000032,00W,NHS Central Manchester ,"1,052",267,785,577,287,879
E38000080,01D,"NHS Heywood, Middleton & Rochdale ","1,341",585,756,632,562,700
E38000123,01M,NHS North Manchester ,866,335,531,507,383,639
E38000135,00Y,NHS Oldham ,"1,287",596,691,566,533,598
E38000143,01G,NHS Salford ,"2,597",957,"1,640","1,087",799,"1,375"
E38000158,01N,NHS South Manchester ,804,299,503,498,376,613
E38000174,01W,NHS Stockport ,"1,528",543,985,536,390,676
E38000182,01Y,NHS Tameside and Glossop ,"2,005",609,"1,396",790,489,"1,082"
E38000187,02A,NHS Trafford ,857,303,554,372,269,471
E38000205,02H,NHS Wigan Borough ,"1,754",497,"1,257",549,313,781
E39000004,Q47,Lancashire,"11,163","3,852","7,307",760,532,981
E38000014,00Q,NHS Blackburn with Darwen ,"1,112",399,713,755,544,963
E38000015,00R,NHS Blackpool ,703,283,420,497,407,584
E38000034,00X,NHS Chorley and South Ribble ,"1,635",516,"1,117",965,611,"1,313"
E38000050,01A,NHS East Lancashire ,"2,831","1,005","1,826",760,548,967
E38000060,02M,NHS Fylde & Wyre ,628,241,386,379,299,453
E38000065,01E,NHS Greater Preston ,"2,009",586,"1,422",996,583,"1,406"
E38000093,01K,NHS Lancashire North ,981,355,626,615,455,769
E38000200,02G,NHS West Lancashire ,"1,264",467,797,"1,136",863,"1,394"
E39000005,Q48,Merseyside,"11,032","3,879","7,153",925,667,"1,171"
E38000068,01F,NHS Halton ,"1,158",437,721,919,711,"1,118"
E38000091,01J,NHS Knowsley ,"1,667",568,"1,099","1,141",818,"1,434"
E38000101,99A,NHS Liverpool ,"3,820","1,299","2,521",811,558,"1,059"
E38000161,01T,NHS South Sefton ,"1,413",479,934,889,627,"1,132"
E38000170,01V,NHS Southport and Formby ,"1,259",478,781,"1,101",875,"1,308"
E38000172,01X,NHS St Helens ,"1,715",618,"1,097",973,713,"1,224"
E39000006,Q49,"Cumbria, Northumberland, Tyne and Wear","16,300","5,363","10,937",843,565,"1,111"
E38000041,01H,NHS Cumbria ,"2,770",872,"1,898",549,351,742
E38000061,00F,NHS Gateshead ,"1,363",440,923,682,449,906
E38000111,00G,NHS Newcastle North and East ,"1,094",349,745,760,479,"1,049"
E38000112,00H,NHS Newcastle West ,"1,297",437,860,907,613,"1,201"
E38000127,99C,NHS North Tyneside ,"2,922",924,"1,998","1,445",946,"1,912"
E38000130,00L,NHS Northumberland ,"4,463","1,642","2,821","1,413","1,065","1,746"
E38000163,00N,NHS South Tyneside ,637,227,410,429,316,534
E38000176,00P,NHS Sunderland ,"1,754",472,"1,282",635,351,905
E39000007,Q50,North Yorkshire and Humber,"8,872","2,636","6,234",531,320,736
E38000052,02Y,NHS East Riding of Yorkshire ,"1,326",416,910,422,270,566
E38000069,03D,"NHS Hambleton, Richmondshire and Whitby ",290,119,171,189,152,227
E38000073,03E,NHS Harrogate and Rural District ,720,289,431,455,373,533
E38000085,03F,NHS Hull ,"1,119",268,851,434,207,663
E38000119,03H,NHS North East Lincolnshire ,"1,965",490,"1,473","1,229",625,"1,809"
E38000122,03K,NHS North Lincolnshire ,"1,112",253,859,659,304,"1,005"
E38000145,03M,NHS Scarborough and Ryedale ,476,170,306,432,318,540
E38000188,03Q,NHS Vale of York ,"1,864",631,"1,233",534,370,691
E39000008,Q51,South Yorkshire and Bassetlaw,"6,885","2,102","4,783",468,289,642
E38000006,02P,NHS Barnsley ,808,339,469,343,292,392
E38000008,02Q,NHS Bassetlaw ,381,149,232,335,265,404
E38000044,02X,NHS Doncaster ,955,371,584,315,247,380
E38000141,03L,NHS Rotherham ,"1,701",516,"1,185",658,406,901
E38000146,03N,NHS Sheffield ,"3,040",727,"2,313",543,262,819
E39000009,Q52,West Yorkshire,"21,111","6,533","14,578",917,578,"1,246"
E38000001,02N,"NHS Airedale, Wharfedale and Craven ","1,817",687,"1,130","1,147",893,"1,385"
E38000018,02W,NHS Bradford City ,"1,563",417,"1,146","1,889",974,"2,870"
E38000019,02R,NHS Bradford Districts ,"6,922","2,355","4,567","2,069","1,441","2,667"
E38000025,02T,NHS Calderdale ,"1,424",392,"1,032",690,388,980
E38000064,03A,NHS Greater Huddersfield ,"1,338",344,994,557,290,816
E38000094,02V,NHS Leeds North ,"1,224",288,936,612,298,907
E38000095,03G,NHS Leeds South and East ,"1,991",413,"1,578",826,346,"1,297"
E38000096,03C,NHS Leeds West ,"1,879",459,"1,420",586,291,871
E38000121,03J,NHS North Kirklees ,965,372,593,514,400,625
E38000190,03R,NHS Wakefield ,"1,988",806,"1,182",603,498,704
E40000002,Y55,Midlands and East of England,"113,699","37,362","76,330",696,464,921
E39000010,Q53,"Arden, Herefordshire and Worcestershire","19,656","6,906","12,749","1,201",853,"1,541"
E38000038,05A,NHS Coventry and Rugby ,"6,952","2,196","4,756","1,612","1,019","2,205"
E38000078,05F,NHS Herefordshire ,563,288,275,303,314,292
E38000139,05J,NHS Redditch and Bromsgrove ,"3,140","1,058","2,082","1,752","1,193","2,299"
E38000164,05R,NHS South Warwickshire ,"1,211",512,699,467,400,533
E38000166,05T,NHS South Worcestershire ,"4,122","1,575","2,546","1,400","1,091","1,697"
E38000195,05H,NHS Warwickshire North ,"2,100",684,"1,416","1,116",741,"1,479"
E38000211,06D,NHS Wyre Forest ,"1,568",593,975,"1,593","1,221","1,955"
E39000011,Q54,Birmingham and the Black Country,"17,343","4,650","12,693",707,385,"1,019"
E38000012,13P,NHS Birmingham CrossCity ,"4,628","1,029","3,599",638,289,973
E38000013,04X,NHS Birmingham South and Central ,"2,040",356,"1,684","1,014",360,"1,647"
E38000046,05C,NHS Dudley ,"3,803","1,019","2,784","1,210",659,"1,741"
E38000144,05L,NHS Sandwell and West Birmingham ,"3,451","1,040","2,411",719,435,"1,001"
E38000149,05P,NHS Solihull ,715,206,509,342,203,474
E38000191,05Y,NHS Walsall ,"1,419",508,911,521,380,658
E38000210,06A,NHS Wolverhampton ,"1,287",492,795,512,396,625
E39000012,Q55,Derbyshire and Nottinghamshire,"12,958","3,280","9,678",652,334,962
E38000058,03X,NHS Erewash ,611,105,506,644,226,"1,045"
