Region code,ONS Code,Region,Total,Male,Female,Total per 100k,Male per 100k,Female per 100k
,,,,,,,,
Q30,E18000001,North East,"15,345","5,777","9,568",591,455,721
5ND,E16000085,County Durham PCT,"1,971",788,"1,183",384,314,452
5J9,E16000041,Darlington PCT,188,79,109,178,154,201
5KF,E16000050,Gateshead PCT,906,364,542,452,371,530
5D9,E16000019,Hartlepool PCT,389,131,258,422,293,545
5KM,E16000053,Middlesbrough PCT,409,155,254,296,229,359
5D7,E16000017,Newcastle PCT,"1,732",678,"1,054",621,485,757
5D8,E16000018,North Tyneside PCT,"2,499",907,"1,592","1,242",934,"1,529"
TAC,E17000001,Northumberland Care Trust,"4,151","1,561","2,590","1,312","1,012","1,598"
5QR,E16000146,Redcar & Cleveland PCT,400,130,270,296,198,388
5KG,E16000051,South Tyneside PCT,577,172,405,389,240,529
5E1,E16000020,Stockton-On-Tees Teaching PCT,809,307,502,422,326,514
5KL,E16000052,Sunderland Teaching PCT,"1,314",505,809,477,377,572
,,,,,,,,
Q31,E18000002,North West ,"39,000","13,788","25,211",553,398,703
5HG,E16000032,"Ashton, Leigh & Wigan PCT","1,786",464,"1,322",561,294,826
TAP,E17000006,Blackburn with Darwen Teaching Care Trust Plus,757,238,519,513,323,701
5HP,E16000033,Blackpool PCT,522,220,302,367,315,418
5HQ,E16000148,Bolton PCT,980,436,544,353,318,388
5JX,E16000043,Bury PCT,756,333,423,408,367,447
5NP,E16000095,Central & Eastern Cheshire PCT,"2,190",492,"1,698",472,216,718
5NG,E16000088,Central Lancashire PCT,"4,401","1,513","2,888",942,654,"1,224"
5NE,E16000086,Cumbria PCT,"1,701",591,"1,110",340,240,437
5NH,E16000089,East Lancashire PCT,"1,855",647,"1,208",485,344,622
5NM,E16000093,Halton & St. Helens PCT,"2,161",677,"1,484",718,459,966
5NQ,E16000096,"Heywood, Middleton & Rochdale PCT",883,358,525,417,345,486
5J4,E16000038,Knowsley PCT,"1,297",398,899,889,575,"1,173"
5NL,E16000092,Liverpool PCT,"3,612","1,188","2,424",776,516,"1,031"
5NT,E16000149,Manchester PCT,"1,572",637,935,313,252,374
5NF,E16000087,North Lancashire PCT,"1,096",419,677,341,269,408
5J5,E16000039,Oldham PCT,705,325,380,313,295,331
5F5,E16000025,Salford PCT,"2,148",892,"1,256",916,761,"1,071"
5NJ,E16000090,Sefton PCT,"2,379",830,"1,549",868,632,"1,086"
5F7,E16000026,Stockport PCT,"1,475",591,884,521,427,610
5LH,E16000062,Tameside & Glossop PCT,"1,771",525,"1,246",700,423,967
5NR,E16000097,Trafford PCT,613,260,353,270,234,304
5J2,E16000037,Warrington PCT,741,280,461,366,279,451
5NN,E16000094,Western Cheshire PCT,"1,226",423,803,519,369,662
5NK,E16000091,Wirral PCT,"2,548","1,092","1,456",797,710,877
,,,,,,,,
Q32,E18000003,Yorkshire and the Humber ,"31,015","10,335","20,680",586,397,770
5JE,E16000042,Barnsley PCT,"1,142",462,680,493,405,577
5NY,E16000102,Bradford & Airedale PCT,"5,076","1,509","3,567",970,586,"1,343"
5J6,E16000040,Calderdale PCT,880,305,575,431,306,551
5N5,E16000078,Doncaster PCT,"8,206","2,979","5,227","2,713","1,997","3,410"
5NW,E16000100,East Riding of Yorkshire PCT,"1,041",412,629,311,252,368
5NX,E16000101,Hull PCT,642,240,402,251,187,315
5N2,E16000075,Kirklees PCT,"1,320",420,900,312,201,420
5N1,E16000074,Leeds PCT,"2,711",694,"2,017",361,189,527
TAN,E17000005,North East Lincolnshire PCT,576,241,335,357,305,408
5EF,E16000021,North Lincolnshire PCT,465,178,287,284,221,346
5NV,E16000099,North Yorkshire & York PCT,"2,567","1,084","1,483",321,276,365
5H8,E16000031,Rotherham PCT,"1,928",655,"1,273",748,518,970
5N4,E16000077,Sheffield PCT,"3,555",768,"2,787",644,282,998
5N3,E16000076,Wakefield District PCT,898,385,513,275,240,309
,,,,,,,,
Q33,E18000004,East Midlands,"22,362","7,091","15,271",493,317,664
5ET,E16000023,Bassetlaw PCT,"3,252","1,200","2,052","2,878","2,140","3,605"
5N7,E16000080,Derby City PCT,"2,869",208,"2,661","1,152",169,"2,115"
5N6,E16000079,Derbyshire County PCT,"3,836",979,"2,857",520,270,762
5PC,E16000113,Leicester City PCT,732,292,440,222,179,264
5PA,E16000112,Leicestershire County & Rutland PCT,"1,524",585,939,221,172,270
5N9,E16000082,Lincolnshire PCT,"4,234","1,542","2,692",590,441,732
5PD,E16000114,Northampton PCT,"1,331",563,768,192,164,218
5EM,E16000022,Nottingham City PCT,"1,106",454,652,364,296,433
5N8,E16000081,Nottinghamshire County PCT,"3,310","1,230","2,080",491,372,607
,,,,,,,,
Q34,E18000005,West Midlands ,"34,721","10,948","23,771",619,396,837
5PG,E16000117,Birmingham East & North PCT,"1,662",462,"1,200",391,221,554
5MD,E16000070,Coventry Teaching PCT,"2,981",648,"2,333",941,411,"1,467"
5PE,E16000115,Dudley PCT,"2,626",865,"1,761",838,562,"1,105"
5MX,E16000073,Heart of Birmingham Teaching PCT,"2,419",617,"1,802",822,418,"1,229"
5CN,E16000015,Herefordshire PCT,497,217,280,271,240,300
5PH,E16000118,North Staffordshire PCT,515,201,314,242,191,291
5PF,E16000116,Sandwell PCT,"2,944",863,"2,081",953,567,"1,326"
5M2,E16000065,Shropshire County PCT,"2,125",803,"1,322",692,527,854
5QW,E17000004,Solihull PCT ,504,165,339,244,164,319
5M1,E16000064,South Birmingham PCT,"2,455",567,"1,888",693,329,"1,037"
5PK,E16000120,South Staffordshire PCT,"3,063","1,127","1,936",487,362,611
5PJ,E16000119,Stoke on Trent PCT,740,254,486,288,198,377
5MK,E16000071,Telford & Wrekin PCT,813,275,538,487,333,639
5M3,E16000066,Walsall Teaching PCT,"2,297",882,"1,415",852,666,"1,032"
5PM,E16000122,Warwickshire PCT,"2,265",724,"1,541",414,269,556
5MV,E16000072,Wolverhampton City PCT,"3,706","1,278","2,428","1,483","1,033","1,924"
5PL,E16000121,Worcestershire PCT,"3,107","1,000","2,107",548,359,732
,,,,,,,,
Q35,E18000006,East of England ,"32,540","12,327","20,211",555,427,679
5P2,E16000104,Bedfordshire PCT,"1,649",722,927,399,353,443
5PP,E16000124,Cambridgeshire PCT,"3,022","1,395","1,627",486,449,522
5PR,E16000126,Great Yarmouth & Waveney PCT,"1,736",708,"1,028",816,682,944
5QV,E16000150,Hertfordshire PCT,"8,516","2,986","5,530",760,544,969
5GC,E16000029,Luton PCT,"1,327",443,884,652,433,872
5PX,E16000130,Mid Essex PCT,"1,007",338,669,268,183,351
5PQ,E16000125,Norfolk PCT,"3,888","1,462","2,426",510,392,624
5PW,E16000129,North East Essex PCT,"1,013",359,654,325,236,409
5PN,E16000123,Peterborough PCT,"1,441",353,"1,088",781,386,"1,169"
5P1,E16000103,South East Essex PCT,"1,241",630,611,359,373,346
5PY,E16000131,South West Essex PCT,"3,140","1,077","2,063",771,542,990
5PT,E16000127,Suffolk PCT,"3,084","1,297","1,787",502,425,577
5PV,E16000128,West Essex PCT,"1,474",557,917,509,395,617
,,,,,,,,
Q36,E18000007,London ,"33,265","11,625","21,633",405,287,521
5C2,E16000009,Barking & Dagenham PCT,747,201,546,399,221,568
5A9,E16000006,Barnet PCT,"1,244",476,768,348,274,417
TAK,E17000002,Bexley Care Trust,929,346,583,399,309,483
5K5,E16000045,Brent Teaching PCT,"2,971",977,"1,994",951,621,"1,287"
5A7,E16000004,Bromley PCT,"1,016",426,590,327,286,366
5K7,E16000047,Camden PCT,644,241,403,293,223,360
5C3,E16000010,City & Hackney Teaching PCT,966,345,621,379,272,486
5K9,E16000049,Croydon PCT,"1,121",381,740,307,215,394
5HX,E16000035,Ealing PCT,"1,480",543,937,436,320,553
5C1,E16000008,Enfield PCT,"1,245",485,760,397,320,468
5A8,E16000005,Greenwich Teaching PCT,"1,119",344,775,438,271,603
5H1,E16000030,Hammersmith & Fulham PCT,571,212,359,313,238,385
5C9,E16000013,Haringey Teaching PCT,"1,050",332,718,411,262,558
5K6,E16000046,Harrow PCT,"2,469",888,"1,581","1,027",747,"1,300"
5A4,E16000002,Havering PCT,827,351,476,348,306,386
5AT,E16000007,Hillingdon PCT,"1,529",470,"1,059",555,344,763
5HY,E16000036,Hounslow PCT,670,255,415,263,199,327
5K8,E16000048,Islington PCT,"1,022",387,635,495,380,608
5LA,E16000056,Kensington & Chelsea PCT,332,132,200,210,169,249
5A5,E16000003,Kingston PCT,445,177,268,277,226,327
5LD,E16000058,Lambeth PCT,819,260,559,269,171,366
5LF,E16000060,Lewisham PCT,663,228,435,239,168,308
5C5,E16000012,Newham PCT,"1,383",398,985,445,246,664
5NA,E16000083,Redbridge PCT,"1,213",434,779,431,311,549
5M6,E16000067,Richmond & Twickenham PCT,338,162,176,180,177,183
5LE,E16000059,Southwark PCT,887,332,555,307,232,381
5M7,E16000068,Sutton & Merton PCT,"1,429",448,981,365,233,491
5C4,E16000011,Tower Hamlets PCT,575,215,360,225,163,291
5NC,E16000084,Waltham Forest PCT,"2,236",657,"1,579",861,505,"1,217"
5LG,E16000061,Wandsworth PCT,712,262,450,231,176,284
5LC,E16000057,Westminster PCT,606,260,346,276,232,322
,,,,,,,,
Q37,E18000008,South East Coast ,"14,486","5,453","9,013",324,249,394
5LQ,E16000063,Brighton & Hove City PCT,"1,270",494,776,465,363,567
5P7,E16000109,East Sussex Downs & Weald PCT,"1,458",592,866,424,357,486
5QA,E16000132,Eastern & Coastal Kent PCT,"1,888",724,"1,164",249,196,299
5P8,E16000110,Hastings & Rother PCT,"1,106",441,665,603,500,699
5L3,E16000055,Medway PCT,883,358,525,333,273,393
5P5,E16000107,Surrey PCT,"2,873",855,"2,018",256,155,352
5P9,E16000111,West Kent PCT,"1,865",878,987,264,253,274
5P6,E16000108,West Sussex PCT,"3,115","1,108","2,007",385,283,481
,,,,,,,,
Q38,E18000009,South Central ,"16,147","5,469","10,677",387,265,505
5QG,E16000137,Berkshire East PCT,"2,201",765,"1,436",535,375,693
5QF,E16000136,Berkshire West PCT,"1,701",565,"1,136",366,245,487
5QD,E16000134,Buckinghamshire PCT,"2,314","1,043","1,271",444,407,480
5QC,E16000133,Hampshire PCT,"4,404","1,412","2,992",333,218,444
5QT,E16000147,Isle of Wight PCT,250,101,149,181,150,210
5CQ,E16000016,Milton Keynes PCT,970,339,631,380,268,489
5QE,E16000135,Oxfordshire PCT,"1,659",458,"1,201",264,147,378
5FE,E16000027,Portsmouth City Teaching PCT,806,317,489,392,305,481
5L1,E16000054,Southampton City PCT,"1,837",466,"1,371",779,391,"1,175"
,,,,,,,,
Q39,E18000010,South West ,"27,720","9,983","17,735",523,384,656
5FL,E16000028,Bath & North East Somerset PCT,590,194,396,336,226,442
5QN,E16000143,Bournemouth & Poole PCT,572,201,371,173,123,222
5QJ,E16000139,Bristol PCT,"1,777",679,"1,098",415,318,511
5QP,E16000144,Cornwall & Isles Of Scilly PCT,"5,055","1,906","3,149",943,734,"1,139"
5QQ,E16000145,Devon PCT,"4,347","1,780","2,567",581,490,667
5QM,E16000142,Dorset PCT,922,383,539,223,190,254
5QH,E16000138,Gloucestershire PCT,"1,402",614,788,234,209,258
5M8,E16000069,North Somerset PCT,827,264,563,407,267,540
5F1,E16000024,Plymouth Teaching PCT,"4,796","1,536","3,260","1,869","1,207","2,520"
5QL,E16000141,Somerset PCT,"3,199",724,"2,475",602,279,909
5A3,E16000001,South Gloucestershire PCT,"1,026",449,577,389,344,435
5K3,E16000044,Swindon PCT,899,397,502,418,369,468
TAL,E17000003,Torbay Care Trust,625,260,365,476,411,537
5QK,E16000140,Wiltshire PCT,"1,693",602,"1,091",357,257,454
