ONS Code,LA Code,Region,Total,Male,Female,Total per 100k,Male per 100k,Female per 100k
,,,,,,,,
E92000001,,England,"365,577","123,423","242,118",679,465,886
,,,,,,,,
,U,Unknown,84,35,49,.,.,.
,,,,,,,,
E12000001,A,North East,"18,824","6,340","12,484",721,496,937
E06000005,117,Darlington Borough Council (Unitary)                                                                ,383,154,229,363,301,423
E06000047,116,Durham County Council                                                                               ,"2,521",925,"1,596",489,365,607
E08000037,106,Gateshead Metropolitan Borough Council                                                              ,"1,363",440,923,682,449,906
E06000001,111,Hartlepool Borough Council (Unitary)                                                                ,506,172,334,546,380,704
E06000002,112,Middlesbrough Council (Unitary)                                                                     ,505,165,340,363,242,481
E08000021,107,Newcastle-upon-Tyne City Council                                                          ,"2,391",786,"1,605",834,545,"1,125"
E08000022,108,North Tyneside Council                                                                              ,"2,922",924,"1,998","1,445",946,"1,912"
E06000057,104,Northumberland County Council                                                                       ,"4,463","1,642","2,821","1,413","1,065","1,746"
E06000003,113,Redcar & Cleveland Borough Council                                                                  ,541,170,371,401,259,535
E08000023,109,South Tyneside Metropolitan Borough Council                                                         ,637,227,410,429,316,534
E06000004,114,Stockton-on-Tees Borough Council (Unitary)                                                          ,838,263,575,434,278,584
E08000024,110,Sunderland City Council                                                                             ,"1,754",472,"1,282",635,351,905
,,,,,,,,
E12000002,B,North West,"55,848","19,879","35,963",786,569,997
E06000008,324,Blackburn with Darwen Borough Council (Unitary)                                                     ,"1,112",399,713,755,544,963
E06000009,325,Blackpool Borough Council (Unitary)                                                                 ,703,283,420,497,407,584
E08000001,304,Bolton Metropolitan Borough Council                                                                 ,"1,175",496,679,420,358,480
E08000002,305,Bury Metropolitan Borough Council                                                                   ,898,388,510,481,425,535
E06000049,326,Cheshire East Council                                                                               ,"1,939",478,"1,461",520,262,768
E06000050,327,Cheshire West and Chester Council,"3,122",908,"2,214",943,563,"1,304"
E10000006,102,Cumbria County Council                                                                              ,"2,750",864,"1,886",552,352,746
E06000006,321,Halton Borough Council (Unitary)                                                                    ,"1,158",437,721,919,711,"1,118"
E08000011,315,Knowsley Metropolitan Borough Council                                                               ,"1,667",568,"1,099","1,141",818,"1,434"
E10000017,323,Lancashire County Council                                                                           ,"9,348","3,170","6,174",792,545,"1,031"
E08000012,316,Liverpool City Council                                                                              ,"3,820","1,299","2,521",811,558,"1,059"
E08000003,306,Manchester City Council                                                                             ,"2,722",901,"1,819",529,347,715
E08000004,307,Oldham Metropolitian Borough Council                                                                ,"1,287",596,691,566,533,598
E08000005,308,Rochdale Metropolitan Borough Council                                                               ,"1,341",585,756,632,562,700
E08000006,309,Salford City Council                                                                                ,"2,597",957,"1,640","1,087",799,"1,375"
