ONS Code,LA Code,Region,Total,Male,Female,Total per 100k,Male per 100k,Female per 100k
E92000001,,England,"440,288","149,490","290,747",811,558,"1,056"
,U,Unknown,139,71,68,.,.,.
E12000001,A,North East,"19,414","6,574","12,840",741,512,961
E06000005,117,Darlington Borough Council (Unitary),348,144,204,330,281,376
E06000047,116,Durham County Council ,"2,553",992,"1,561",493,390,592
E08000037,106,Gateshead Metropolitan Borough Council,"1,450",411,"1,039",723,417,"1,018"
E06000001,111,Hartlepool Borough Council (Unitary),530,204,326,572,451,688
E06000002,112,Middlesbrough Council (Unitary),661,238,423,475,348,598
E08000021,107,Newcastle-upon-Tyne City Council,"2,287",679,"1,608",789,465,"1,119"
E08000022,108,North Tyneside Council,"2,926",961,"1,965","1,443",981,"1,875"
E06000057,104,Northumberland County Council ,"4,456","1,624","2,832","1,410","1,052","1,752"
E06000003,113,Redcar & Cleveland Borough Council,625,216,409,463,329,589
E08000023,109,South Tyneside Metropolitan Borough Council ,738,244,494,496,340,642
E06000004,114,Stockton-on-Tees Borough Council (Unitary),958,311,647,494,327,653
E08000024,110,Sunderland City Council ,"1,882",550,"1,332",680,408,938
E12000002,B,North West,"70,380","24,718","45,654",987,704,"1,261"
E06000008,324,Blackburn with Darwen Borough Council (Unitary),"1,661",514,"1,146","1,132",703,"1,557"
E06000009,325,Blackpool Borough Council (Unitary),745,286,459,530,414,643
E08000001,304,Bolton Metropolitan Borough Council ,"1,803",759,"1,044",643,546,738
E08000002,305,Bury Metropolitan Borough Council ,"1,122",471,651,598,513,680
E06000049,326,Cheshire East Council ,"2,218",644,"1,574",593,351,824
E06000050,327,Cheshire West and Chester Council,"4,128","1,038","3,090","1,243",641,"1,814"
E10000006,102,Cumbria County Council,"3,365","1,079","2,286",676,440,905
E06000006,321,Halton Borough Council (Unitary),"1,351",501,850,"1,069",813,"1,314"
E08000011,315,Knowsley Metropolitan Borough Council ,"1,882",665,"1,217","1,285",956,"1,584"
E10000017,323,Lancashire County Council ,"11,245","3,699","7,541",949,634,"1,255"
E08000012,316,Liverpool City Council,"3,765","1,382","2,383",796,590,997
E08000003,306,Manchester City Council ,"4,092","1,120","2,971",787,426,"1,155"
E08000004,307,Oldham Metropolitian Borough Council,"1,602",758,844,700,674,726
E08000005,308,Rochdale Metropolitan Borough Council ,"1,566",690,876,735,659,809
E08000006,309,Salford City Council,"4,497","1,576","2,921","1,858","1,296","2,425"
E08000014,317,Sefton Council,"2,910","1,071","1,839","1,064",816,"1,292"
E08000013,318,St Helens Metropolitan Borough Council,"2,110",804,"1,306","1,191",924,"1,448"
E08000007,310,Stockport Metropolitan Borough Council,"2,340",894,"1,445",816,637,987
E08000008,311,Tameside Metropolitan Borough Council ,"2,205",714,"1,491",999,658,"1,328"
E08000009,312,Trafford Metropolitan Borough Council ,"1,490",528,962,641,463,812
E06000007,322,Warrington Borough Council (Unitary),"1,297",633,664,628,618,638
E08000010,313,Wigan Metropolitan Borough Council,"3,700","1,375","2,325","1,153",863,"1,438"
E08000015,319,Wirral Metropolitan Borough Council ,"9,286","3,517","5,769","2,894","2,274","3,471"
E12000003,D,Yorkshire and the Humber,"47,064","13,926","33,132",878,527,"1,219"
E08000016,204,Barnsley Metropolitan Borough Council ,881,375,506,370,320,420
E08000033,210,Calderdale Metropolitan Borough Council ,"1,411",423,988,680,416,934
E08000032,209,City of Bradford Metropolitan District Council,"10,070","3,081","6,989","1,907","1,184","2,609"
E08000017,205,Doncaster Council ,"1,244",506,736,409,336,479
E06000011,214,East Riding of Yorkshire Council (Unitary),"1,716",495,"1,221",509,300,710
E06000010,215,Kingston-upon-Hull City Council (Unitary),"1,277",286,991,496,221,772
E08000034,211,Kirklees Council,"3,574",915,"2,659",829,429,"1,221"
E08000035,212,Leeds City Council,"6,453","1,736","4,715",842,462,"1,208"
E06000012,216,North East Lincolnshire Council (Unitary),"2,058",506,"1,552","1,288",646,"1,906"
E06000013,217,North Lincolnshire Council (Unitary),"1,033",226,806,610,270,941
E10000023,218,North Yorkshire County Council,"4,749","1,763","2,985",789,596,977
E08000018,206,Rotherham Metropolitan Borough Council,"2,109",641,"1,468",811,502,"1,110"
E08000019,207,Sheffield City Council,"3,809",903,"2,906",676,323,"1,023"
E08000036,213,Wakefield Council ,"5,006","1,536","3,470","1,511",944,"2,058"
E06000014,219,York City Council ,"1,674",534,"1,140",819,535,"1,091"
E12000004,E,East Midlands,"34,839","11,451","23,381",751,500,995
E06000015,507,Derby City Council (Unitary),"2,658",325,"2,333","1,053",260,"1,831"
E10000007,506,Derbyshire County Council ,"6,902","1,959","4,941",885,511,"1,246"
E06000016,509,Leicester City Council (Unitary),"1,188",443,745,352,265,437
E10000018,508,Leicestershire County Council ,"2,603",993,"1,610",390,300,477
E10000019,503,Lincolnshire County Council ,"5,911","2,257","3,652",808,632,976
E10000021,504,Northamptonshire County Council ,"4,099","1,623","2,475",574,461,683
E06000018,512,Nottingham City Council (Unitary),"3,782","1,109","2,673","1,203",699,"1,718"
E10000024,511,Nottinghamshire County Council,"7,592","2,688","4,902",947,682,"1,204"
E06000017,510,Rutland County Council,104,54,50,274,276,271
E12000005,F,West Midlands,"54,212","16,465","37,744",949,583,"1,306"
E08000025,406,Birmingham City Council ,"9,265","1,994","7,271",841,367,"1,304"
E08000026,407,Coventry City Council ,"5,281","1,572","3,708","1,565",929,"2,205"
E08000027,408,Dudley Metropolitan Borough Council ,"4,739","1,026","3,713","1,501",661,"2,311"
E06000019,415,Herefordshire Council ,845,420,425,451,454,449
E08000028,409,Sandwell Metropolitan Borough Council,"2,596",713,"1,883",820,456,"1,174"
E06000051,417,Shropshire Council,"2,047",592,"1,455",660,385,931
E08000029,410,Solihull Metropolitan Borough Council ,896,230,666,427,226,617
E10000028,413,Staffordshire County Council,"5,299","1,785","3,513",616,418,811
E06000021,414,Stoke-on-Trent City Council (Unitary),"1,956",554,"1,402",779,443,"1,113"
E06000020,418,Telford and Wrekin Council (Unitary),"1,511",363,"1,148",892,432,"1,343"
E08000030,411,Walsall Metropolitan Borough Council,"1,707",579,"1,128",623,430,808
E10000031,404,Warwickshire County Council ,"6,071","2,197","3,874","1,101",806,"1,388"
E08000031,412,Wolverhampton City Council,"2,583",871,"1,711","1,021",696,"1,338"
E10000034,416,Worcestershire County Council ,"9,416","3,569","5,847","1,636","1,259","2,003"
E12000006,G,East of England,"49,262","18,279","30,976",819,617,"1,014"
E06000055,625,Bedford Borough Council ,804,371,433,490,460,520
E10000003,623,Cambridgeshire County Council ,"4,393","1,928","2,465",687,603,770
E06000056,626,Central Bedfordshire Council,"2,434",876,"1,556",905,657,"1,146"
E10000012,620,Essex County Council,"8,965","3,418","5,545",626,489,757
E10000015,606,Hertfordshire County Council,"11,722","4,330","7,392","1,015",766,"1,254"
E06000032,611,Luton Borough Council (Unitary),"3,734",963,"2,771","1,770",905,"2,651"
E10000020,607,Norfolk County Council,"6,232","2,236","3,994",710,519,894
E06000031,624,Peterborough City Council (Unitary),861,395,466,452,416,488
E06000033,621,Southend-on-Sea Borough Council (Unitary),578,240,338,325,275,373
E10000029,609,Suffolk County Council,"7,365","2,775","4,590",997,762,"1,227"
E06000034,622,Thurrock Council (Unitary),"2,174",747,"1,426","1,332",929,"1,721"
E12000007,H,London,"44,893","15,370","29,513",526,363,686
E09000001,714,Corporation of the City of London ,26,9,17,322,200,476
E09000002,716,London Borough of Barking and Dagenham,"1,226",434,792,618,448,781
E09000003,717,London Borough of Barnet,"1,626",640,985,434,348,516
E09000004,718,London Borough of Bexley,"1,327",568,759,553,491,611
E09000005,719,London Borough of Brent ,"3,015",962,"2,053",940,592,"1,297"
E09000006,720,London Borough of Bromley ,953,362,591,297,234,354
E09000007,702,London Borough of Camden,"1,097",444,653,467,380,553
E09000008,721,London Borough of Croydon ,"1,345",427,918,358,234,474
E09000009,722,London Borough of Ealing,"2,316",753,"1,563",677,439,917
E09000010,723,London Borough of Enfield ,"2,547","1,007","1,537",785,638,921
E09000011,703,London Borough of Greenwich ,"1,287",469,818,479,348,610
E09000012,704,London Borough of Hackney ,"1,897",523,"1,374",721,400,"1,037"
E09000013,705,London Borough of Hammersmith and Fulham,566,222,344,317,254,378
E09000014,724,London Borough of Haringey,"1,650",550,"1,100",617,410,824
E09000015,725,London Borough of Harrow,"2,308",801,"1,507",938,656,"1,217"
E09000016,726,London Borough of Havering,"1,451",626,825,590,530,646
E09000017,727,London Borough of Hillingdon,"2,428",660,"1,768",830,452,"1,205"
E09000018,728,London Borough of Hounslow,"1,080",385,695,407,287,530
E09000019,706,London Borough of Islington ,"1,667",527,"1,140",754,479,"1,027"
E09000022,708,London Borough of Lambeth Council ,"1,513",499,"1,012",475,313,638
E09000023,709,London Borough of Lewisham Council,964,311,653,330,217,440
E09000024,730,London Borough of Merton Council,700,250,450,344,250,435
E09000025,731,London Borough of Newham Council,"1,671",528,"1,143",515,312,737
E09000026,732,London Borough of Redbridge Council ,"1,364",529,835,465,364,565
E09000027,733,London Borough of Richmond upon Thames Council,460,236,224,238,251,225
E09000028,710,London Borough of Southwark Council ,"1,651",535,"1,116",546,357,732
E09000029,734,London Borough of Sutton Council,944,240,704,476,249,693
E09000030,711,London Borough of Tower Hamlets Council ,"1,102",330,772,388,225,563
E09000031,735,London Borough of Waltham Forest Council,"1,999",559,"1,436",746,418,"1,070"
E09000032,712,London Borough of Wandsworth,910,298,612,292,199,377
E09000020,707,Royal Borough of Kensington and Chelsea ,451,153,298,289,198,378
E09000021,729,Royal Borough of Kingston-upon-Thames Council ,428,182,246,252,218,284
E09000033,713,Westminster City Council,924,351,573,396,291,508
E12000008,J,South East,"61,957","22,420","39,532",698,514,877
E06000036,614,Bracknell Forest Borough Council (Unitary),788,335,453,668,571,763
E06000043,816,Brighton & Hove City Council (Unitary)
E10000002,612,Buckinghamshire County Council,"3,381","1,530","1,850",648,598,695
E10000011,815,East Sussex County Council,"3,185","1,253","1,932",590,481,692
E10000014,812,Hampshire County Council,"8,466","3,134","5,331",629,476,775
E06000046,803,Isle of Wight Council ,"1,641",646,995,"1,180",951,"1,398"
E10000016,820,Kent County Council ,"9,121","3,508","5,613",604,474,729
E06000035,821,Medway Council (Unitary),"3,318","1,121","2,197","1,211",824,"1,592"
E06000042,613,Milton Keynes Council (Unitary),"1,666",487,"1,179",643,379,901
E10000025,608,Oxfordshire County Council,"3,084",923,"2,161",459,276,638
E06000044,813,Portsmouth City Council (Unitary),"1,182",431,751,565,407,728
E06000038,616,Reading Borough Council (Unitary),"1,486",457,"1,029",924,565,"1,287"
E06000040,618,Royal Borough of Windsor & Maidenhead (Unitary),"1,740",676,"1,064","1,180",927,"1,428"
E06000039,617,Slough Borough Council (Unitary),"2,524",796,"1,728","1,746","1,099","2,395"
E06000045,814,Southampton City Council (Unitary),"4,304","1,467","2,837","1,755","1,177","2,352"
E10000030,805,Surrey County Council ,"4,044","1,218","2,826",348,214,478
E06000037,615,West Berkshire District Council (Unitary),"1,151",404,747,739,523,952
E10000032,807,West Sussex County Council,"7,897","2,949","4,945",953,734,"1,159"
E06000041,619,Wokingham Borough Council (Unitary),"1,112",406,706,699,517,877
E12000009,K,South West,"58,128","20,216","37,907","1,072",759,"1,374"
E06000022,908,Bath and North East Somerset Council (Unitary),"1,275",472,803,700,527,869
E06000029,811,Borough of Poole Council (Unitary),"1,956",690,"1,266","1,303",937,"1,656"
E06000028,810,Bournemouth Borough Council (Unitary),"2,414",928,"1,486","1,261",964,"1,562"
E06000023,909,Bristol City Council,"5,275","1,792","3,483","1,192",811,"1,572"
E06000052,902,Cornwall Council,"11,493","3,601","7,889","2,108","1,360","2,811"
