ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2006-2008,28.7,28.0,29.3,n/a
A,E12000001,North East,N/A,2006-2008,21.5,19.6,23.6,Significantly worse than England average
B,E12000002,North West,N/A,2006-2008,26.2,24.6,27.8,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2006-2008,24.5,22.6,26.4,Significantly worse than England average
E,E12000004,East Midlands,N/A,2006-2008,28.6,26.9,30.3,Not significantly different from England average
F,E12000005,West Midlands,N/A,2006-2008,25.7,23.8,27.7,Significantly worse than England average
G,E12000006,East of England,N/A,2006-2008,30.3,28.4,32.3,Not significantly different from England average
H,E12000007,London,N/A,2006-2008,36.4,34.2,38.7,Significantly better than England average
J,E12000008,South East,N/A,2006-2008,29.2,27.7,30.8,Not significantly different from England average
K,E12000009,South West,N/A,2006-2008,29.6,27.7,31.6,Not significantly different from England average
Q37,E18000008,South East Coast SHA,N/A,2006-2008,29.5,27.4,31.8,Not significantly different from England average
Q38,E18000009,South Central SHA,N/A,2006-2008,28.9,26.9,31.1,Not significantly different from England average
11,E10000002,Buckinghamshire CC,N/A,2006-2008,30.8,28.8,32.8,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2006-2008,32.4,30.4,34.5,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2006-2008,28.5,26.5,30.5,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2006-2008,28.1,26.6,29.7,Not significantly different from England average
18,E10000008,Devon CC,N/A,2006-2008,30.9,29.3,32.5,Significantly better than England average
19,E10000009,Dorset CC,N/A,2006-2008,32.1,29.8,34.4,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2006-2008,31.1,29.1,33.1,Significantly better than England average
22,E10000012,Essex CC,N/A,2006-2008,29.6,28.4,30.9,Not significantly different from England average
23,E10000013,Gloucestershire CC,N/A,2006-2008,31.2,29.3,33.2,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2006-2008,29.3,28.1,30.6,Not significantly different from England average
26,E10000015,Hertfordshire CC,N/A,2006-2008,32.7,31.3,34.1,Significantly better than England average
29,E10000016,Kent CC,N/A,2006-2008,27.3,26.1,28.4,Significantly worse than England average
30,E10000017,Lancashire CC,N/A,2006-2008,27.0,25.8,28.3,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2006-2008,30.3,28.6,32.1,Not significantly different from England average
32,E10000019,Lincolnshire CC,N/A,2006-2008,28.6,26.9,30.4,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2006-2008,29.2,27.6,30.7,Not significantly different from England average
34,E10000021,Northamptonshire CC,N/A,2006-2008,29.6,27.9,31.3,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,2006-2008,28.8,27.0,30.7,Not significantly different from England average
37,E10000024,Nottinghamshire CC,N/A,2006-2008,28.0,26.5,29.6,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2006-2008,30.2,28.5,32.0,Not significantly different from England average
40,E10000027,Somerset CC,N/A,2006-2008,29.7,27.8,31.6,Not significantly different from England average
41,E10000028,Staffordshire CC,N/A,2006-2008,26.1,24.7,27.6,Significantly worse than England average
42,E10000029,Suffolk CC,N/A,2006-2008,30.3,28.6,32.1,Not significantly different from England average
43,E10000030,Surrey CC,N/A,2006-2008,32.5,31.1,33.9,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2006-2008,28.2,26.3,30.2,Not significantly different from England average
45,E10000032,West Sussex CC,N/A,2006-2008,30.1,28.5,31.7,Not significantly different from England average
47,E10000034,Worcestershire CC,N/A,2006-2008,28.4,26.7,30.1,Not significantly different from England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2006-2008,24.9,22.0,28.1,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2006-2008,42.0,39.1,44.8,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2006-2008,30.5,27.5,33.6,Not significantly different from England average
00AE,E09000005,Brent LB,ONS4.6,2006-2008,37.0,34.1,40.1,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2006-2008,36.0,33.2,38.8,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2006-2008,41.6,38.2,45.0,Significantly better than England average
00AH,E09000008,Croydon LB,ONS2.4,2006-2008,34.4,31.9,37.0,Significantly better than England average
00AJ,E09000009,Ealing LB,ONS2.4,2006-2008,39.0,36.2,41.9,Significantly better than England average
00AK,E09000010,Enfield LB,ONS2.4,2006-2008,32.5,29.9,35.3,Significantly better than England average
00AL,E09000011,Greenwich LB,ONS2.4,2006-2008,31.7,28.8,34.8,Significantly better than England average
00AM,E09000012,Hackney LB,ONS4.6,2006-2008,34.0,30.8,37.4,Significantly better than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2006-2008,40.5,36.9,44.2,Significantly better than England average
00AP,E09000014,Haringey LB,ONS4.6,2006-2008,38.5,35.6,41.5,Significantly better than England average
00AQ,E09000015,Harrow LB,ONS2.4,2006-2008,38.7,35.6,41.9,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2006-2008,29.4,26.6,32.4,Not significantly different from England average
00AS,E09000017,Hillingdon LB,ONS1.3,2006-2008,33.2,30.3,36.2,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2006-2008,36.0,32.8,39.3,Significantly better than England average
00AU,E09000019,Islington LB,ONS3.5,2006-2008,35.8,32.2,39.4,Significantly better than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2006-2008,47.8,43.8,51.8,Significantly better than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2006-2008,40.9,37.0,45.0,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2006-2008,37.5,34.6,40.5,Significantly better than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2006-2008,34.7,31.9,37.6,Significantly better than England average
00BA,E09000024,Merton LB,ONS2.4,2006-2008,39.6,36.2,43.2,Significantly better than England average
00BB,E09000025,Newham LB,ONS4.6,2006-2008,31.6,29.0,34.4,Significantly better than England average
00BC,E09000026,Redbridge LB,ONS2.4,2006-2008,33.9,30.9,37.0,Significantly better than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2006-2008,42.6,38.8,46.5,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2006-2008,35.6,32.7,38.7,Significantly better than England average
00BF,E09000029,Sutton LB,ONS1.3,2006-2008,34.3,30.9,37.8,Significantly better than England average
00BG,E09000030,Tower Hamlets LB,ONS3.5,2006-2008,30.3,27.5,33.3,Not significantly different from England average
00BH,E09000031,Waltham Forest LB,ONS2.4,2006-2008,32.3,29.2,35.5,Significantly better than England average
00BJ,E09000032,Wandsworth LB,ONS3.5,2006-2008,40.8,37.9,43.9,Significantly better than England average
00BK,E09000033,City of Westminster LB,ONS3.5,2006-2008,44.7,40.9,48.5,Significantly better than England average
00BL,E08000001,Bolton MCD,ONS1.2,2006-2008,24.6,22.2,27.1,Significantly worse than England average
00BM,E08000002,Bury MCD,ONS5.7,2006-2008,26.4,23.6,29.5,Not significantly different from England average
00BN,E08000003,Manchester MCD,ONS1.2,2006-2008,26.5,24.4,28.7,Not significantly different from England average
00BP,E08000004,Oldham MCD,ONS1.2,2006-2008,23.7,21.4,26.2,Significantly worse than England average
00BQ,E08000005,Rochdale MCD,ONS1.2,2006-2008,24.3,21.5,27.3,Significantly worse than England average
00BR,E08000006,Salford MCD,ONS1.1,2006-2008,23.8,21.3,26.6,Significantly worse than England average
00BS,E08000007,Stockport MCD,ONS5.7,2006-2008,29.2,26.8,31.8,Not significantly different from England average
00BT,E08000008,Tameside MCD,ONS7.11,2006-2008,23.0,20.5,25.6,Significantly worse than England average
00BU,E08000009,Trafford MCD,ONS5.7,2006-2008,30.1,27.1,33.3,Not significantly different from England average
00BW,E08000010,Wigan MCD,ONS7.12,2006-2008,23.3,21.1,25.6,Significantly worse than England average
00BX,E08000011,Knowsley MCD,ONS7.11,2006-2008,19.6,17.0,22.5,Significantly worse than England average
00BY,E08000012,Liverpool MCD,ONS1.1,2006-2008,23.3,21.5,25.2,Significantly worse than England average
00BZ,E08000013,St Helens MCD,ONS7.11,2006-2008,23.8,20.9,26.9,Significantly worse than England average
00CA,E08000014,Sefton MCD,ONS7.11,2006-2008,26.5,24.1,29.0,Not significantly different from England average
00CB,E08000015,Wirral MCD,ONS7.11,2006-2008,26.7,24.4,29.1,Not significantly different from England average
00CC,E08000016,Barnsley MCD,ONS7.12,2006-2008,20.3,18.1,22.7,Significantly worse than England average
00CE,E08000017,Doncaster MCD,ONS7.12,2006-2008,21.4,19.4,23.6,Significantly worse than England average
00CF,E08000018,Rotherham MCD,ONS7.12,2006-2008,21.3,19.1,23.7,Significantly worse than England average
00CG,E08000019,Sheffield MCD,ONS1.1,2006-2008,24.7,23.0,26.5,Significantly worse than England average
00CH,E08000020,Gateshead MCD,ONS7.11,2006-2008,19.9,17.6,22.5,Significantly worse than England average
00CJ,E08000021,Newcastle upon Tyne MCD,ONS1.1,2006-2008,23.2,20.7,25.9,Significantly worse than England average
00CK,E08000022,North Tyneside MCD,ONS7.11,2006-2008,22.4,20.1,25.0,Significantly worse than England average
00CL,E08000023,South Tyneside MCD,ONS7.11,2006-2008,19.8,17.4,22.5,Significantly worse than England average
00CM,E08000024,Sunderland MCD,ONS7.11,2006-2008,19.4,17.4,21.5,Significantly worse than England average
00CN,E08000025,Birmingham MCD,ONS1.2,2006-2008,24.6,23.3,25.9,Significantly worse than England average
00CQ,E08000026,Coventry MCD,ONS1.2,2006-2008,26.4,24.1,28.8,Not significantly different from England average
00CR,E08000027,Dudley MCD,ONS7.12,2006-2008,24.8,22.6,27.0,Significantly worse than England average
00CS,E08000028,Sandwell MCD,ONS1.2,2006-2008,20.6,18.5,22.7,Significantly worse than England average
00CT,E08000029,Solihull MCD,ONS5.7,2006-2008,28.5,25.6,31.5,Not significantly different from England average
00CU,E08000030,Walsall MCD,ONS1.2,2006-2008,21.8,19.8,24.0,Significantly worse than England average
00CW,E08000031,Wolverhampton MCD,ONS1.2,2006-2008,22.5,20.2,24.9,Significantly worse than England average
00CX,E08000032,Bradford MCD,ONS1.2,2006-2008,24.3,22.5,26.3,Significantly worse than England average
00CY,E08000033,Calderdale MCD,ONS1.2,2006-2008,25.6,22.8,28.5,Significantly worse than England average
00CZ,E08000034,Kirklees MCD,ONS1.2,2006-2008,24.5,22.7,26.5,Significantly worse than England average
00DA,E08000035,Leeds MCD,ONS1.1,2006-2008,25.0,23.6,26.4,Significantly worse than England average
00DB,E08000036,Wakefield MCD,ONS7.12,2006-2008,21.2,19.4,23.2,Significantly worse than England average
00EB,E06000001,Hartlepool UA,ONS7.11,2006-2008,19.3,16.2,22.9,Significantly worse than England average
00EC,E06000002,Middlesbrough UA,ONS7.11,2006-2008,19.5,16.8,22.6,Significantly worse than England average
00EE,E06000003,Redcar and Cleveland UA,ONS7.11,2006-2008,20.9,18.1,24.1,Significantly worse than England average
00EF,E06000004,Stockton-on-Tees UA,ONS7.12,2006-2008,21.9,19.2,24.8,Significantly worse than England average
00EH,E06000005,Darlington UA,ONS7.11,2006-2008,23.5,20.0,27.3,Significantly worse than England average
00EJ,E06000047,County Durham UA,ONS7.11,2006-2008,21.4,19.8,23.1,Significantly worse than England average
00EM,E06000048,Northumberland UA,ONS5.7,2006-2008,24.2,22.0,26.6,Significantly worse than England average
00EQ,E06000049,Cheshire East UA,ONS5.7,2006-2008,31.4,29.0,33.8,Significantly better than England average
00ET,E06000006,Halton UA,ONS7.11,2006-2008,22.7,19.4,26.3,Significantly worse than England average
00EU,E06000007,Warrington UA,ONS5.7,2006-2008,27.9,24.9,31.2,Not significantly different from England average
00EW,E06000050,Cheshire West and Chester UA,ONS5.7,2006-2008,28.4,26.1,30.8,Not significantly different from England average
00EX,E06000008,Blackburn with Darwen UA,ONS1.2,2006-2008,24.8,21.5,28.4,Significantly worse than England average
00EY,E06000009,Blackpool UA,ONS6.10,2006-2008,22.6,19.6,25.9,Significantly worse than England average
00FA,E06000010,Kingston upon Hull UA,ONS7.11,2006-2008,20.4,18.3,22.7,Significantly worse than England average
00FB,E06000011,East Riding of Yorkshire UA,ONS5.7,2006-2008,27.1,24.8,29.5,Not significantly different from England average
00FC,E06000012,North East Lincolnshire UA,ONS7.12,2006-2008,22.5,19.8,25.5,Significantly worse than England average
00FD,E06000013,North Lincolnshire UA,ONS7.12,2006-2008,24.6,21.7,27.7,Significantly worse than England average
00FF,E06000014,York UA,ONS5.7,2006-2008,28.3,25.2,31.6,Not significantly different from England average
00FK,E06000015,Derby UA,ONS1.2,2006-2008,28.6,25.9,31.5,Not significantly different from England average
00FN,E06000016,Leicester UA,ONS1.2,2006-2008,25.8,23.4,28.4,Significantly worse than England average
00FP,E06000017,Rutland UA,ONS5.7,2006-2008,36.2,28.7,44.5,Not significantly different from England average
00FY,E06000018,Nottingham UA,ONS1.2,2006-2008,26.6,24.1,29.3,Not significantly different from England average
00GA,E06000019,County of Herefordshire UA,ONS5.7,2006-2008,30.7,27.3,34.3,Not significantly different from England average
00GF,E06000020,Telford and Wrekin UA,ONS7.12,2006-2008,24.9,22.0,28.0,Significantly worse than England average
00GG,E06000051,Shropshire UA,ONS5.7,2006-2008,29.5,27.0,32.2,Not significantly different from England average
00GL,E06000021,Stoke-on-Trent UA,ONS7.11,2006-2008,20.7,18.6,23.0,Significantly worse than England average
00HA,E06000022,Bath and North East Somerset UA,ONS5.7,2006-2008,31.6,28.4,35.0,Not significantly different from England average
00HB,E06000023,Bristol UA,ONS1.1,2006-2008,27.8,25.7,30.0,Not significantly different from England average
00HC,E06000024,North Somerset UA,ONS5.7,2006-2008,30.0,26.9,33.4,Not significantly different from England average
00HD,E06000025,South Gloucestershire UA,ONS5.7,2006-2008,28.9,26.2,31.8,Not significantly different from England average
00HE,E06000052,Cornwall UA,ONS6.10,2006-2008,28.1,26.3,30.0,Not significantly different from England average
00HG,E06000026,Plymouth UA,ONS1.1,2006-2008,24.9,22.4,27.5,Significantly worse than England average
00HH,E06000027,Torbay UA,ONS6.10,2006-2008,26.2,22.8,29.9,Not significantly different from England average
00HN,E06000028,Bournemouth UA,ONS1.1,2006-2008,29.6,26.2,33.1,Not significantly different from England average
00HP,E06000029,Poole UA,ONS5.7,2006-2008,29.2,25.6,33.1,Not significantly different from England average
00HX,E06000030,Swindon UA,ONS5.8,2006-2008,27.1,24.1,30.4,Not significantly different from England average
00HY,E06000054,Wiltshire UA,ONS5.7,2006-2008,30.9,28.8,33.0,Significantly better than England average
00JA,E06000031,Peterborough UA,ONS5.8,2006-2008,28.0,24.8,31.6,Not significantly different from England average
00KA,E06000032,Luton UA,ONS2.4,2006-2008,27.8,24.5,31.4,Not significantly different from England average
00KB,E06000055,Bedford UA,ONS5.8,2006-2008,31.1,27.5,34.9,Not significantly different from England average
00KC,E06000056,Central Bedfordshire UA,ONS5.7,2006-2008,30.2,27.4,33.1,Not significantly different from England average
00KF,E06000033,Southend-on-Sea UA,ONS1.1,2006-2008,28.7,25.0,32.6,Not significantly different from England average
00KG,E06000034,Thurrock UA,ONS5.8,2006-2008,25.1,21.8,28.8,Not significantly different from England average
00LC,E06000035,Medway UA,ONS5.8,2006-2008,23.9,21.7,26.3,Significantly worse than England average
00MA,E06000036,Bracknell Forest UA,ONS5.9,2006-2008,28.0,24.2,32.2,Not significantly different from England average
00MB,E06000037,West Berkshire UA,ONS5.9,2006-2008,29.4,26.1,32.9,Not significantly different from England average
00MC,E06000038,Reading UA,ONS1.3,2006-2008,28.6,25.0,32.4,Not significantly different from England average
00MD,E06000039,Slough UA,ONS2.4,2006-2008,26.3,22.5,30.6,Not significantly different from England average
00ME,E06000040,Windsor and Maidenhead UA,ONS5.9,2006-2008,31.8,28.0,36.0,Not significantly different from England average
00MF,E06000041,Wokingham UA,ONS5.9,2006-2008,31.3,27.7,35.1,Not significantly different from England average
00MG,E06000042,Milton Keynes UA,ONS5.8,2006-2008,26.5,23.9,29.3,Not significantly different from England average
00ML,E06000043,Brighton and Hove UA,ONS1.1,2006-2008,29.9,27.2,32.8,Not significantly different from England average
00MR,E06000044,Portsmouth UA,ONS1.1,2006-2008,25.1,22.3,28.1,Significantly worse than England average
00MS,E06000045,Southampton UA,ONS1.1,2006-2008,25.8,23.2,28.5,Significantly worse than England average
00MW,E06000046,Isle of Wight UA,ONS6.10,2006-2008,25.8,22.4,29.4,Not significantly different from England average
11UB,E07000004,Aylesbury Vale CD,ONS5.9,2006-2008,29.3,26.1,32.7,Not significantly different from England average
11UC,E07000005,Chiltern CD,ONS5.9,2006-2008,33.7,28.9,38.9,Significantly better than England average
11UE,E07000006,South Bucks CD,ONS5.9,2006-2008,31.8,26.2,38.1,Not significantly different from England average
11UF,E07000007,Wycombe CD,ONS5.9,2006-2008,30.2,26.9,33.8,Not significantly different from England average
12UB,E07000008,Cambridge CD,ONS1.3,2006-2008,37.1,32.0,42.5,Significantly better than England average
12UC,E07000009,East Cambridgeshire CD,ONS5.7,2006-2008,31.6,26.5,37.1,Not significantly different from England average
12UD,E07000010,Fenland CD,ONS5.7,2006-2008,25.2,21.0,30.0,Not significantly different from England average
12UE,E07000011,Huntingdonshire CD,ONS5.7,2006-2008,30.8,27.4,34.5,Not significantly different from England average
12UG,E07000012,South Cambridgeshire CD,ONS5.9,2006-2008,35.4,31.4,39.7,Significantly better than England average
16UB,E07000026,Allerdale CD,ONS6.10,2006-2008,27.2,23.0,31.9,Not significantly different from England average
16UC,E07000027,Barrow-in-Furness CD,ONS7.11,2006-2008,23.8,19.6,28.6,Significantly worse than England average
16UD,E07000028,Carlisle CD,ONS6.10,2006-2008,28.1,23.9,32.6,Not significantly different from England average
16UE,E07000029,Copeland CD,ONS7.11,2006-2008,26.6,21.4,32.4,Not significantly different from England average
16UF,E07000030,Eden CD,ONS6.10,2006-2008,31.7,25.6,38.6,Not significantly different from England average
16UG,E07000031,South Lakeland CD,ONS6.10,2006-2008,32.7,28.3,37.5,Not significantly different from England average
17UB,E07000032,Amber Valley CD,ONS7.12,2006-2008,27.4,23.8,31.4,Not significantly different from England average
17UC,E07000033,Bolsover CD,ONS7.12,2006-2008,22.6,18.6,27.2,Significantly worse than England average
17UD,E07000034,Chesterfield CD,ONS7.12,2006-2008,25.8,21.9,30.2,Not significantly different from England average
17UF,E07000035,Derbyshire Dales CD,ONS5.7,2006-2008,33.9,28.6,39.5,Not significantly different from England average
17UG,E07000036,Erewash CD,ONS7.12,2006-2008,27.9,24.1,32.0,Not significantly different from England average
17UH,E07000037,High Peak CD,ONS5.7,2006-2008,31.3,26.7,36.3,Not significantly different from England average
17UJ,E07000038,North East Derbyshire CD,ONS7.12,2006-2008,28.2,24.1,32.7,Not significantly different from England average
17UK,E07000039,South Derbyshire CD,ONS5.7,2006-2008,28.6,24.1,33.5,Not significantly different from England average
18UB,E07000040,East Devon CD,ONS6.10,2006-2008,33.1,29.4,37.0,Significantly better than England average
18UC,E07000041,Exeter CD,ONS1.1,2006-2008,28.5,24.6,32.8,Not significantly different from England average
18UD,E07000042,Mid Devon CD,ONS5.7,2006-2008,30.5,25.8,35.5,Not significantly different from England average
18UE,E07000043,North Devon CD,ONS6.10,2006-2008,30.0,25.8,34.5,Not significantly different from England average
18UG,E07000044,South Hams CD,ONS6.10,2006-2008,34.0,29.2,39.2,Significantly better than England average
18UH,E07000045,Teignbridge CD,ONS6.10,2006-2008,30.3,26.7,34.2,Not significantly different from England average
18UK,E07000046,Torridge CD,ONS6.10,2006-2008,28.5,23.5,34.0,Not significantly different from England average
18UL,E07000047,West Devon CD,ONS6.10,2006-2008,32.6,26.5,39.3,Not significantly different from England average
19UC,E07000048,Christchurch CD,ONS6.10,2006-2008,32.2,26.2,38.8,Not significantly different from England average
19UD,E07000049,East Dorset CD,ONS5.7,2006-2008,33.1,28.3,38.2,Not significantly different from England average
19UE,E07000050,North Dorset CD,ONS5.7,2006-2008,32.3,26.7,38.5,Not significantly different from England average
19UG,E07000051,Purbeck CD,ONS6.10,2006-2008,31.1,24.7,38.2,Not significantly different from England average
19UH,E07000052,West Dorset CD,ONS6.10,2006-2008,34.6,29.7,39.8,Significantly better than England average
19UJ,E07000053,Weymouth and Portland CD,ONS6.10,2006-2008,27.5,22.6,33.0,Not significantly different from England average
21UC,E07000061,Eastbourne CD,ONS1.1,2006-2008,31.0,26.4,35.9,Not significantly different from England average
21UD,E07000062,Hastings CD,ONS1.1,2006-2008,25.6,21.4,30.4,Not significantly different from England average
21UF,E07000063,Lewes CD,ONS5.7,2006-2008,31.4,26.9,36.1,Not significantly different from England average
21UG,E07000064,Rother CD,ONS6.10,2006-2008,32.8,27.9,38.1,Not significantly different from England average
21UH,E07000065,Wealden CD,ONS5.7,2006-2008,33.2,29.5,37.0,Significantly better than England average
22UB,E07000066,Basildon CD,ONS5.8,2006-2008,26.2,23.2,29.5,Not significantly different from England average
22UC,E07000067,Braintree CD,ONS5.7,2006-2008,29.1,25.5,33.0,Not significantly different from England average
22UD,E07000068,Brentwood CD,ONS5.9,2006-2008,33.0,27.5,39.0,Not significantly different from England average
22UE,E07000069,Castle Point CD,ONS5.7,2006-2008,26.3,22.2,30.8,Not significantly different from England average
22UF,E07000070,Chelmsford CD,ONS5.9,2006-2008,31.8,28.3,35.6,Not significantly different from England average
22UG,E07000071,Colchester CD,ONS5.7,2006-2008,30.7,27.2,34.4,Not significantly different from England average
22UH,E07000072,Epping Forest CD,ONS5.9,2006-2008,30.3,26.5,34.4,Not significantly different from England average
22UJ,E07000073,Harlow CD,ONS5.8,2006-2008,26.9,22.6,31.8,Not significantly different from England average
22UK,E07000074,Maldon CD,ONS5.7,2006-2008,31.9,26.2,38.1,Not significantly different from England average
22UL,E07000075,Rochford CD,ONS5.9,2006-2008,30.3,25.2,35.8,Not significantly different from England average
22UN,E07000076,Tendring CD,ONS6.10,2006-2008,27.8,24.2,31.6,Not significantly different from England average
22UQ,E07000077,Uttlesford CD,ONS5.9,2006-2008,34.5,28.8,40.7,Significantly better than England average
23UB,E07000078,Cheltenham CD,ONS5.7,2006-2008,32.0,27.8,36.5,Not significantly different from England average
23UC,E07000079,Cotswold CD,ONS5.7,2006-2008,34.9,29.9,40.4,Significantly better than England average
23UD,E07000080,Forest of Dean CD,ONS5.7,2006-2008,29.8,25.0,35.2,Not significantly different from England average
23UE,E07000081,Gloucester CD,ONS5.8,2006-2008,27.1,23.4,31.2,Not significantly different from England average
23UF,E07000082,Stroud CD,ONS5.7,2006-2008,32.4,28.2,36.9,Not significantly different from England average
23UG,E07000083,Tewkesbury CD,ONS5.7,2006-2008,31.7,26.4,37.6,Not significantly different from England average
24UB,E07000084,Basingstoke and Deane CD,ONS5.9,2006-2008,29.3,26.0,32.7,Not significantly different from England average
24UC,E07000085,East Hampshire CD,ONS5.9,2006-2008,30.8,26.7,35.3,Not significantly different from England average
24UD,E07000086,Eastleigh CD,ONS5.7,2006-2008,28.2,24.4,32.5,Not significantly different from England average
24UE,E07000087,Fareham CD,ONS5.7,2006-2008,30.0,25.9,34.5,Not significantly different from England average
24UF,E07000088,Gosport CD,ONS5.8,2006-2008,25.1,20.8,29.9,Not significantly different from England average
24UG,E07000089,Hart CD,ONS5.9,2006-2008,31.9,27.1,37.1,Not significantly different from England average
24UH,E07000090,Havant CD,ONS7.12,2006-2008,25.6,22.1,29.4,Not significantly different from England average
24UJ,E07000091,New Forest CD,ONS5.7,2006-2008,29.4,26.2,32.9,Not significantly different from England average
24UL,E07000092,Rushmoor CD,ONS5.8,2006-2008,27.7,23.5,32.4,Not significantly different from England average
24UN,E07000093,Test Valley CD,ONS5.9,2006-2008,30.4,26.3,34.8,Not significantly different from England average
24UP,E07000094,Winchester CD,ONS5.9,2006-2008,33.2,28.8,38.0,Significantly better than England average
26UB,E07000095,Broxbourne CD,ONS5.8,2006-2008,27.2,23.2,31.7,Not significantly different from England average
26UC,E07000096,Dacorum CD,ONS5.9,2006-2008,32.7,29.2,36.5,Significantly better than England average
26UD,E07000097,East Hertfordshire CD,ONS5.9,2006-2008,34.7,30.7,39.0,Significantly better than England average
26UE,E07000098,Hertsmere CD,ONS5.9,2006-2008,32.9,28.3,37.8,Not significantly different from England average
26UF,E07000099,North Hertfordshire CD,ONS5.9,2006-2008,33.2,28.8,38.0,Significantly better than England average
26UG,E07000100,St Albans CD,ONS5.9,2006-2008,36.8,32.9,40.9,Significantly better than England average
26UH,E07000101,Stevenage CD,ONS5.8,2006-2008,27.2,23.0,32.0,Not significantly different from England average
26UJ,E07000102,Three Rivers CD,ONS5.9,2006-2008,34.2,29.3,39.3,Significantly better than England average
26UK,E07000103,Watford CD,ONS1.3,2006-2008,32.2,27.5,37.2,Not significantly different from England average
26UL,E07000104,Welwyn Hatfield CD,ONS5.7,2006-2008,32.1,28.0,36.4,Not significantly different from England average
29UB,E07000105,Ashford CD,ONS5.7,2006-2008,27.5,23.6,31.7,Not significantly different from England average
29UC,E07000106,Canterbury CD,ONS5.7,2006-2008,28.1,24.5,32.1,Not significantly different from England average
29UD,E07000107,Dartford CD,ONS5.8,2006-2008,25.0,21.2,29.2,Not significantly different from England average
29UE,E07000108,Dover CD,ONS6.10,2006-2008,26.0,22.3,30.1,Not significantly different from England average
29UG,E07000109,Gravesham CD,ONS5.8,2006-2008,25.5,21.7,29.8,Not significantly different from England average
29UH,E07000110,Maidstone CD,ONS5.7,2006-2008,28.5,25.0,32.1,Not significantly different from England average
29UK,E07000111,Sevenoaks CD,ONS5.9,2006-2008,30.7,26.7,35.0,Not significantly different from England average
29UL,E07000112,Shepway CD,ONS6.10,2006-2008,26.6,22.6,31.1,Not significantly different from England average
29UM,E07000113,Swale CD,ONS7.12,2006-2008,23.1,19.9,26.7,Significantly worse than England average
29UN,E07000114,Thanet CD,ONS6.10,2006-2008,24.7,21.4,28.3,Significantly worse than England average
29UP,E07000115,Tonbridge and Malling CD,ONS5.9,2006-2008,28.7,24.5,33.3,Not significantly different from England average
29UQ,E07000116,Tunbridge Wells CD,ONS5.9,2006-2008,32.7,28.4,37.4,Not significantly different from England average
30UD,E07000117,Burnley CD,ONS1.2,2006-2008,24.2,20.4,28.4,Significantly worse than England average
30UE,E07000118,Chorley CD,ONS5.7,2006-2008,27.8,23.8,32.2,Not significantly different from England average
30UF,E07000119,Fylde CD,ONS6.10,2006-2008,31.5,26.1,37.4,Not significantly different from England average
30UG,E07000120,Hyndburn CD,ONS1.2,2006-2008,24.3,19.8,29.6,Not significantly different from England average
30UH,E07000121,Lancaster CD,ONS1.1,2006-2008,28.6,25.0,32.5,Not significantly different from England average
