ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2006-2008,24.2,23.6,24.7,n/a
A,E12000001,North East,N/A,2006-2008,27.8,25.0,30.6,Significantly worse than England average
B,E12000002,North West,N/A,2006-2008,23.4,22.1,24.6,Not significantly different from England average
D,E12000003,Yorkshire and the Humber,N/A,2006-2008,26.3,24.6,28.1,Significantly worse than England average
E,E12000004,East Midlands,N/A,2006-2008,24.3,22.4,26.3,Not significantly different from England average
F,E12000005,West Midlands,N/A,2006-2008,26.4,24.7,28.2,Significantly worse than England average
G,E12000006,East of England,N/A,2006-2008,23.6,21.8,25.5,Not significantly different from England average
H,E12000007,London,N/A,2006-2008,20.7,19.0,22.4,Significantly better than England average
J,E12000008,South East,N/A,2006-2008,23.7,22.2,25.3,Not significantly different from England average
K,E12000009,South West,N/A,2006-2008,24.7,23.1,26.3,Not significantly different from England average
Q37,E18000008,South East Coast SHA,N/A,2006-2008,24.7,22.5,27.0,Not significantly different from England average
Q38,E18000009,South Central SHA,N/A,2006-2008,22.7,20.8,24.7,Not significantly different from England average
11,E10000002,Buckinghamshire CC,N/A,2006-2008,20.7,20.0,21.5,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2006-2008,20.9,20.1,21.6,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2006-2008,24.0,23.1,24.9,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2006-2008,25.3,24.6,26.0,Significantly worse than England average
18,E10000008,Devon CC,N/A,2006-2008,24.1,23.4,24.7,Not significantly different from England average
19,E10000009,Dorset CC,N/A,2006-2008,24.2,23.2,25.2,Not significantly different from England average
21,E10000011,East Sussex CC,N/A,2006-2008,24.7,23.8,25.6,Not significantly different from England average
22,E10000012,Essex CC,N/A,2006-2008,24.2,23.7,24.7,Not significantly different from England average
23,E10000013,Gloucestershire CC,N/A,2006-2008,24.7,23.9,25.5,Not significantly different from England average
24,E10000014,Hampshire CC,N/A,2006-2008,23.7,23.2,24.3,Not significantly different from England average
26,E10000015,Hertfordshire CC,N/A,2006-2008,21.4,20.8,21.9,Significantly better than England average
29,E10000016,Kent CC,N/A,2006-2008,26.3,25.8,26.9,Significantly worse than England average
30,E10000017,Lancashire CC,N/A,2006-2008,22.5,21.9,23.0,Significantly better than England average
31,E10000018,Leicestershire CC,N/A,2006-2008,24.3,23.5,25.1,Not significantly different from England average
32,E10000019,Lincolnshire CC,N/A,2006-2008,25.0,24.2,25.8,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2006-2008,24.8,24.1,25.5,Not significantly different from England average
34,E10000021,Northamptonshire CC,N/A,2006-2008,24.6,23.9,25.4,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,2006-2008,24.2,23.4,25.1,Not significantly different from England average
37,E10000024,Nottinghamshire CC,N/A,2006-2008,24.0,23.3,24.7,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2006-2008,20.7,20.0,21.4,Significantly better than England average
40,E10000027,Somerset CC,N/A,2006-2008,25.9,25.0,26.7,Significantly worse than England average
41,E10000028,Staffordshire CC,N/A,2006-2008,26.7,26.0,27.4,Significantly worse than England average
42,E10000029,Suffolk CC,N/A,2006-2008,24.3,23.6,25.1,Not significantly different from England average
43,E10000030,Surrey CC,N/A,2006-2008,22.1,21.6,22.7,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2006-2008,25.5,24.6,26.4,Significantly worse than England average
45,E10000032,West Sussex CC,N/A,2006-2008,25.0,24.3,25.7,Significantly worse than England average
47,E10000034,Worcestershire CC,N/A,2006-2008,25.6,24.8,26.4,Significantly worse than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2006-2008,28.7,27.1,30.5,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2006-2008,17.9,17.0,18.8,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2006-2008,26.4,25.0,27.9,Significantly worse than England average
00AE,E09000005,Brent LB,ONS4.6,2006-2008,21.2,20.1,22.4,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2006-2008,21.8,20.8,22.9,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2006-2008,15.5,14.6,16.5,Significantly better than England average
00AH,E09000008,Croydon LB,ONS2.4,2006-2008,24.3,23.2,25.4,Not significantly different from England average
00AJ,E09000009,Ealing LB,ONS2.4,2006-2008,18.1,17.2,19.1,Significantly better than England average
00AK,E09000010,Enfield LB,ONS2.4,2006-2008,23.2,22.1,24.4,Not significantly different from England average
00AL,E09000011,Greenwich LB,ONS2.4,2006-2008,22.6,21.4,23.8,Significantly better than England average
00AM,E09000012,Hackney LB,ONS4.6,2006-2008,22.6,21.3,24.0,Significantly better than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2006-2008,15.6,14.6,16.7,Significantly better than England average
00AP,E09000014,Haringey LB,ONS4.6,2006-2008,20.1,19.0,21.2,Significantly better than England average
00AQ,E09000015,Harrow LB,ONS2.4,2006-2008,19.2,18.2,20.3,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2006-2008,27.3,25.9,28.8,Significantly worse than England average
00AS,E09000017,Hillingdon LB,ONS1.3,2006-2008,23.2,22.0,24.4,Not significantly different from England average
00AT,E09000018,Hounslow LB,ONS2.4,2006-2008,20.5,19.3,21.7,Significantly better than England average
00AU,E09000019,Islington LB,ONS3.5,2006-2008,18.0,16.8,19.2,Significantly better than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2006-2008,13.9,13.0,15.0,Significantly better than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2006-2008,16.7,15.5,18.0,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2006-2008,20.5,19.4,21.7,Significantly better than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2006-2008,23.7,22.5,24.9,Not significantly different from England average
00BA,E09000024,Merton LB,ONS2.4,2006-2008,19.1,18.0,20.3,Significantly better than England average
00BB,E09000025,Newham LB,ONS4.6,2006-2008,25.3,24.1,26.5,Not significantly different from England average
00BC,E09000026,Redbridge LB,ONS2.4,2006-2008,22.3,21.1,23.5,Significantly better than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2006-2008,14.9,13.9,16.0,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2006-2008,22.5,21.2,23.8,Significantly better than England average
00BF,E09000029,Sutton LB,ONS1.3,2006-2008,23.0,21.6,24.4,Not significantly different from England average
00BG,E09000030,Tower Hamlets LB,ONS3.5,2006-2008,19.4,18.3,20.5,Significantly better than England average
00BH,E09000031,Waltham Forest LB,ONS2.4,2006-2008,23.4,22.1,24.7,Not significantly different from England average
