Date, Price
Nov 25, 2016:19.84
Nov 23, 2016;19.58
Nov 22, 2016;19.75
Nov 21, 2016;20.35
Nov 18, 2016;20.15
Nov 17, 2016;20.22
Nov 16, 2016;20.36
Nov 15, 2016;21.15
Nov 14, 2016;21.63
Nov 11, 2016;21.70
Nov 10, 2016;21.65
Nov 09, 2016;22.11
Nov 08, 2016;21.97
Nov 07, 2016;22.27
Nov 04, 2016;21.73
Nov 03, 2016;21.48
Nov 02, 2016;21.70
Nov 01, 2016;21.19
Oct 31, 2016;21.57
Oct 28, 2016;22.16
Oct 27, 2016;22.59
Oct 26, 2016;22.67
Oct 25, 2016;22.93
Oct 24, 2016;23.20
Oct 21, 2016;22.71
Oct 20, 2016;22.62
Oct 19, 2016;22.95
Oct 18, 2016;23.02
Oct 17, 2016;23.16
Oct 14, 2016;22.91
Oct 13, 2016;22.92
Oct 12, 2016;23.15
Oct 11, 2016;23.29
Oct 10, 2016;23.13
Oct 07, 2016;23.42
Oct 06, 2016;23.11
Oct 05, 2016;23.81
Oct 04, 2016;23.26
Oct 03, 2016;22.67
Sep 30, 2016;22.53
Sep 29, 2016;22.76
Sep 28, 2016;23.27
Sep 27, 2016;23.02
Sep 26, 2016;22.54
Sep 23, 2016;22.13
Sep 22, 2016;22.17
Sep 21, 2016;22.20
Sep 20, 2016;22.13
Sep 19, 2016;22.10
Sep 16, 2016;21.78
Sep 15, 2016;20.48
Sep 14, 2016;20.13
Sep 13, 2016;20.43
Sep 12, 2016;20.24
Sep 09, 2016;19.99
Sep 08, 2016;20.22
Sep 07, 2016;20.29
Sep 06, 2016;20.22
Sep 02, 2016;20.18
Sep 01, 2016;19.59
Aug 31, 2016;20.06
Aug 30, 2016;20.52
Aug 29, 2016;20.67
Aug 26, 2016;20.61
Aug 25, 2016;20.55
Aug 24, 2016;20.22
Aug 23, 2016;20.73
Aug 22, 2016;20.42
Aug 19, 2016;19.77
Aug 18, 2016;19.98
Aug 17, 2016;19.72
Aug 16, 2016;20.26
Aug 15, 2016;19.98
Aug 12, 2016;19.71
Aug 11, 2016;19.60
Aug 10, 2016;19.64
Aug 09, 2016;20.39
Aug 08, 2016;20.55
Aug 05, 2016;20.35
Aug 04, 2016;19.70
Aug 03, 2016;19.04
Aug 02, 2016;19.05
Aug 01, 2016;18.81
Jul 29, 2016;19.05
Jul 28, 2016;18.80
Jul 27, 2016;19.10
Jul 26, 2016;19.52
Jul 25, 2016;19.89
Jul 22, 2016;19.59
Jul 21, 2016;19.56
Jul 20, 2016;19.28
Jul 19, 2016;19.36
Jul 18, 2016;19.37
Jul 15, 2016;19.31
Jul 14, 2016;19.91
Jul 13, 2016;19.48
Jul 12, 2016;19.72
Jul 11, 2016;20.28
Jul 08, 2016;19.57
Jul 07, 2016;19.73
Jul 06, 2016;20.57
Jul 05, 2016;20.87
Jul 01, 2016;20.78
Jun 30, 2016;20.15
Jun 29, 2016;20.82
Jun 28, 2016;19.81
Jun 27, 2016;19.48
Jun 24, 2016;19.00
Jun 23, 2016;19.04
Jun 22, 2016;19.04
Jun 21, 2016;19.24
Jun 20, 2016;19.69
Jun 17, 2016;19.76
Jun 16, 2016;19.68
Jun 15, 2016;19.76
Jun 14, 2016;19.34
Jun 13, 2016;19.54
Jun 10, 2016;19.70
Jun 09, 2016;19.74
Jun 08, 2016;19.61
Jun 07, 2016;19.00
Jun 06, 2016;18.78
Jun 03, 2016;18.75
Jun 02, 2016;18.08
Jun 01, 2016;17.41
May 31, 2016;17.49
May 27, 2016;17.52
May 26, 2016;17.42
May 25, 2016;17.16
May 24, 2016;16.61
May 23, 2016;16.80
May 20, 2016;17.07
May 19, 2016;16.70
May 18, 2016;16.81
May 17, 2016;16.82
May 16, 2016;16.89
May 13, 2016;16.74
May 12, 2016;16.98
May 11, 2016;16.77
May 10, 2016;16.02
May 09, 2016;15.88
May 06, 2016;15.74
May 05, 2016;15.84
May 04, 2016;16.65
May 03, 2016;16.25
May 02, 2016;16.21
Apr 29, 2016;16.16
Apr 28, 2016;15.32
Apr 27, 2016;15.55
Apr 26, 2016;15.77
Apr 25, 2016;15.63
Apr 22, 2016;15.26
Apr 21, 2016;15.58
Apr 20, 2016;15.57
Apr 19, 2016;15.17
Apr 18, 2016;15.35
Apr 15, 2016;15.04
Apr 14, 2016;14.13
Apr 13, 2016;14.01
Apr 12, 2016;14.07
Apr 11, 2016;14.15
Apr 08, 2016;14.69
Apr 07, 2016;14.43
Apr 06, 2016;14.62
Apr 05, 2016;14.64
Apr 04, 2016;14.64
Apr 01, 2016;15.18
Mar 31, 2016;15.35
Mar 30, 2016;15.87
Mar 29, 2016;15.86
Mar 28, 2016;15.94
Mar 24, 2016;15.87
Mar 23, 2016;16.71
Mar 22, 2016;16.58
Mar 21, 2016;16.29
Mar 18, 2016;15.97
Mar 17, 2016;15.99
Mar 16, 2016;15.47
Mar 15, 2016;15.32
Mar 14, 2016;15.42
Mar 11, 2016;15.13
Mar 10, 2016;14.82
Mar 09, 2016;14.63
Mar 08, 2016;14.86
Mar 07, 2016;14.66
Mar 04, 2016;14.83
Mar 03, 2016;14.84
Mar 02, 2016;14.67
Mar 01, 2016;14.39
Feb 29, 2016;14.56
Feb 26, 2016;13.91
Feb 25, 2016;14.24
