Date, Index
Nov 25, 2016;101.55
Nov 24, 2016;101.76
Nov 23, 2016;101.76
Nov 22, 2016;101.11
Nov 21, 2016;101.11
Nov 18, 2016;101.28
Nov 17, 2016;100.95
Nov 16, 2016;100.44
Nov 15, 2016;100.25
Nov 14, 2016;100.12
Nov 11, 2016;99.05
Nov 10, 2016;98.77
Nov 09, 2016;98.53
Nov 08, 2016;97.86
Nov 07, 2016;97.79
Nov 04, 2016;97.09
Nov 03, 2016;97.20
Nov 02, 2016;97.41
Nov 01, 2016;97.70
Oct 31, 2016;98.42
Oct 28, 2016;98.34
Oct 27, 2016;98.88
Oct 26, 2016;98.61
Oct 25, 2016;98.68
Oct 24, 2016;98.75
Oct 21, 2016;98.69
Oct 20, 2016;98.31
Oct 19, 2016;97.94
Oct 18, 2016;97.90
Oct 17, 2016;97.88
Oct 14, 2016;98.00
Oct 13, 2016;97.52
Oct 12, 2016;97.96
Oct 11, 2016;97.69
Oct 10, 2016;96.93
Oct 07, 2016;96.65
Oct 06, 2016;96.77
Oct 05, 2016;96.11
Oct 04, 2016;96.12
Oct 03, 2016;95.59
Sep 30, 2016;95.39
Sep 29, 2016;95.47
Sep 28, 2016;95.34
Sep 27, 2016;95.31
Sep 26, 2016;95.21
Sep 23, 2016;95.39
Sep 22, 2016;95.38
Sep 21, 2016;95.67
Sep 20, 2016;95.98
Sep 19, 2016;95.77
Sep 16, 2016;96.11
Sep 15, 2016;95.28
Sep 14, 2016;95.32
Sep 13, 2016;95.64
Sep 12, 2016;95.09
Sep 09, 2016;95.33
Sep 08, 2016;95.05
Sep 07, 2016;94.95
Sep 06, 2016;94.82
Sep 05, 2016;95.84
Sep 02, 2016;95.84
Sep 01, 2016;95.66
Aug 31, 2016;96.01
Aug 30, 2016;96.04
Aug 29, 2016;95.54
Aug 26, 2016;95.54
Aug 25, 2016;94.74
Aug 24, 2016;94.75
Aug 23, 2016;94.49
Aug 22, 2016;94.50
Aug 19, 2016;94.48
Aug 18, 2016;94.14
Aug 17, 2016;94.69
Aug 16, 2016;94.76
Aug 15, 2016;95.59
Aug 12, 2016;95.68
Aug 11, 2016;95.84
Aug 10, 2016;95.61
Aug 09, 2016;96.13
Aug 08, 2016;96.34
Aug 05, 2016;96.14
Aug 04, 2016;95.72
Aug 03, 2016;95.53
Aug 02, 2016;94.99
Aug 01, 2016;95.68
Jul 29, 2016;95.49
Jul 28, 2016;96.72
Jul 27, 2016;97.04
Jul 26, 2016;97.17
Jul 25, 2016;97.33
Jul 22, 2016;97.52
Jul 21, 2016;97.05
Jul 20, 2016;97.26
Jul 19, 2016;97.11
Jul 18, 2016;96.59
Jul 15, 2016;96.56
Jul 14, 2016;96.10
Jul 13, 2016;96.21
Jul 12, 2016;96.49
Jul 11, 2016;96.59
Jul 08, 2016;96.33
Jul 07, 2016;96.38
Jul 06, 2016;96.13
Jul 05, 2016;96.26
Jul 04, 2016;95.71
Jul 01, 2016;95.71
Jun 30, 2016;96.20
Jun 29, 2016;95.81
Jun 28, 2016;96.33
Jun 27, 2016;96.70
Jun 24, 2016;95.57
Jun 23, 2016;93.53
Jun 22, 2016;93.76
Jun 21, 2016;94.06
Jun 20, 2016;93.68
Jun 17, 2016;94.34
Jun 16, 2016;94.71
Jun 15, 2016;94.68
Jun 14, 2016;95.04
Jun 13, 2016;94.40
Jun 10, 2016;94.56
Jun 09, 2016;93.95
Jun 08, 2016;93.58
Jun 07, 2016;93.83
Jun 06, 2016;93.89
Jun 03, 2016;94.03
Jun 02, 2016;95.57
Jun 01, 2016;95.46
May 31, 2016;95.88
May 30, 2016;95.50
May 27, 2016;95.50
May 26, 2016;95.16
May 25, 2016;95.34
May 24, 2016;95.58
May 23, 2016;95.22
May 20, 2016;95.34
May 19, 2016;95.29
May 18, 2016;95.06
May 17, 2016;94.53
May 16, 2016;94.55
May 13, 2016;94.59
May 12, 2016;94.13
May 11, 2016;93.79
May 10, 2016;94.27
May 09, 2016;94.11
May 06, 2016;93.88
May 05, 2016;93.78
May 04, 2016;93.19
May 03, 2016;92.93
May 02, 2016;92.62
Apr 29, 2016;93.05
Apr 28, 2016;93.73
Apr 27, 2016;94.37
Apr 26, 2016;94.54
Apr 25, 2016;94.80
Apr 22, 2016;95.08
Apr 21, 2016;94.57
Apr 20, 2016;94.47
Apr 19, 2016;93.95
Apr 18, 2016;94.46
Apr 15, 2016;94.69
Apr 14, 2016;94.91
Apr 13, 2016;94.76
Apr 12, 2016;93.94
Apr 11, 2016;93.94
Apr 08, 2016;94.25
Apr 07, 2016;94.50
Apr 06, 2016;94.44
Apr 05, 2016;94.64
Apr 04, 2016;94.52
Apr 01, 2016;94.62
Mar 31, 2016;94.58
Mar 30, 2016;94.82
Mar 29, 2016;95.15
Mar 28, 2016;95.94
Mar 24, 2016;96.17
Mar 23, 2016;96.06
Mar 22, 2016;95.64
Mar 21, 2016;95.30
Mar 18, 2016;95.12
Mar 17, 2016;94.80
Mar 16, 2016;95.92
Mar 15, 2016;96.67
Mar 14, 2016;96.52
Mar 11, 2016;96.17
Mar 10, 2016;96.06
Mar 09, 2016;97.16
Mar 08, 2016;97.21
Mar 07, 2016;97.08
Mar 04, 2016;97.34
Mar 03, 2016;97.60
Mar 02, 2016;98.22
Mar 01, 2016;98.36
Feb 29, 2016;98.22
Feb 26, 2016;98.17
Feb 25, 2016;97.28
Feb 24, 2016;97.46
Feb 23, 2016;97.48
Feb 22, 2016;97.39
Feb 19, 2016;96.60
Feb 18, 2016;96.96
Feb 17, 2016;96.80
Feb 16, 2016;96.88
Feb 15, 2016;95.98
Feb 12, 2016;95.98
Feb 11, 2016;95.62
Feb 10, 2016;95.94
Feb 09, 2016;96.09
Feb 08, 2016;96.58
Feb 05, 2016;97.05
Feb 04, 2016;96.49
Feb 03, 2016;97.30
Feb 02, 2016;98.89
Feb 01, 2016;99.03
Jan 29, 2016;99.65
Jan 28, 2016;98.54
Jan 27, 2016;98.95
Jan 26, 2016;99.13
Jan 25, 2016;99.41
Jan 22, 2016;99.65
Jan 21, 2016;99.13
Jan 20, 2016;99.17
Jan 19, 2016;99.04
Jan 18, 2016;99.02
Jan 15, 2016;99.02
Jan 14, 2016;99.16
Jan 13, 2016;98.98
Jan 12, 2016;99.02
Jan 11, 2016;98.78
Jan 08, 2016;98.60
Jan 07, 2016;98.27
Jan 06, 2016;99.27
Jan 05, 2016;99.50
Jan 04, 2016;98.97
Dec 31, 2015;98.75
Dec 30, 2015;98.35
Dec 29, 2015;98.17
Dec 28, 2015;97.95
Dec 24, 2015;98.02
Dec 23, 2015;98.37
Dec 22, 2015;98.24
Dec 21, 2015;98.37
Dec 18, 2015;98.73
Dec 17, 2015;99.32
Dec 16, 2015;97.88
Dec 15, 2015;98.29
Dec 14, 2015;97.47
Dec 11, 2015;97.55
Dec 10, 2015;97.96
Dec 09, 2015;97.33
Dec 08, 2015;98.47
Dec 07, 2015;98.67
Dec 04, 2015;98.34
Dec 03, 2015;97.63
Dec 02, 2015;100.02
Dec 01, 2015;99.84
Nov 30, 2015;100.21
Nov 27, 2015;100.07
Nov 26, 2015;99.83
Nov 25, 2015;99.83
Nov 24, 2015;99.59
Nov 23, 2015;99.86
Nov 20, 2015;99.62
Nov 19, 2015;99.06
Nov 18, 2015;99.75
Nov 17, 2015;99.70
Nov 16, 2015;99.54
Nov 13, 2015;99.10
Nov 12, 2015;98.71
Nov 11, 2015;99.16
Nov 10, 2015;99.39
Nov 09, 2015;99.08
Nov 06, 2015;99.26
Nov 05, 2015;98.05
Nov 04, 2015;98.03
Nov 03, 2015;97.24
Nov 02, 2015;97.00
Oct 30, 2015;97.02
Oct 29, 2015;97.36
Oct 28, 2015;97.86
Oct 27, 2015;96.99
Oct 26, 2015;96.95
Oct 23, 2015;97.24
Oct 22, 2015;96.45
