Date; Index
2016, 11 ;101.48
2016, 10 ;98.42
2016, 09 ;95.39
2016, 08 ;96.01
2016, 07 ;95.49
2016, 06 ;96.20
2016, 05 ;95.88
2016, 04 ;93.05
2016, 03 ;94.58
2016, 02 ;98.22
2016, 01 ;99.65
2015, 12 ;98.75
2015, 11 ;100.21
2015, 10 ;97.02
2015, 09 ;96.48
2015, 08 ;95.85
2015, 07 ;97.44
2015, 06 ;95.66
2015, 05 ;96.99
2015, 04 ;94.71
2015, 03 ;98.66
2015, 02 ;95.32
2015, 01 ;95.00
2014, 12 ;90.65
2014, 11 ;88.41
2014, 10 ;87.02
2014, 09 ;86.05
2014, 08 ;82.78
2014, 07 ;81.52
2014, 06 ;79.81
2014, 05 ;80.40
2014, 04 ;79.53
2014, 03 ;80.25
2014, 02 ;79.72
2014, 01 ;81.40
2013, 12 ;80.19
2013, 11 ;80.66
2013, 10 ;80.26
2013, 09 ;80.32
2013, 08 ;82.14
2013, 07 ;81.54
2013, 06 ;83.38
2013, 05 ;83.40
2013, 04 ;81.81
2013, 03 ;83.17
2013, 02 ;82.00
2013, 01 ;79.23
2012, 12 ;79.87
2012, 11 ;80.16
2012, 10 ;79.99
2012, 09 ;80.03
2012, 08 ;81.22
2012, 07 ;82.71
2012, 06 ;81.75
2012, 05 ;83.13
2012, 04 ;78.85
2012, 03 ;79.14
2012, 02 ;78.79
2012, 01 ;79.42
2011, 12 ;80.52
2011, 11 ;78.49
2011, 10 ;76.31
2011, 09 ;79.08
2011, 08 ;74.17
2011, 07 ;74.04
2011, 06 ;74.64
2011, 05 ;74.70
2011, 04 ;73.11
2011, 03 ;76.07
2011, 02 ;76.92
2011, 01 ;77.86
2010, 12 ;79.29
2010, 11 ;81.27
2010, 10 ;77.46
2010, 09 ;78.94
2010, 08 ;83.25
2010, 07 ;81.66
2010, 06 ;86.28
2010, 05 ;86.67
2010, 04 ;81.99
2010, 03 ;81.29
2010, 02 ;80.44
